age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,y
58.0,4,1,2,0,2143.0,1,0,2,5.0,8,261.0,1.0,-1.0,0.0,0
44.0,9,2,1,0,29.0,1,0,2,5.0,8,151.0,1.0,-1.0,0.0,0
33.0,2,1,1,0,2.0,1,1,2,5.0,8,76.0,1.0,-1.0,0.0,0
47.0,1,1,1,0,1506.0,1,0,2,5.0,8,92.0,1.0,-1.0,0.0,0
33.0,1,2,1,0,1.0,0,0,2,5.0,8,198.0,1.0,-1.0,0.0,0
35.0,4,1,2,0,231.0,1,0,2,5.0,8,139.0,1.0,-1.0,0.0,0
28.0,4,2,2,0,447.0,1,1,2,5.0,8,217.0,1.0,-1.0,0.0,0
42.0,2,0,2,1,2.0,1,0,2,5.0,8,380.0,1.0,-1.0,0.0,0
58.0,5,1,0,0,121.0,1,0,2,5.0,8,50.0,1.0,-1.0,0.0,0
43.0,9,2,1,0,593.0,1,0,2,5.0,8,55.0,1.0,-1.0,0.0,0
41.0,0,0,1,0,270.0,1,0,2,5.0,8,222.0,1.0,-1.0,0.0,0
29.0,0,2,1,0,390.0,1,0,2,5.0,8,137.0,1.0,-1.0,0.0,0
53.0,9,1,1,0,6.0,1,0,2,5.0,8,517.0,1.0,-1.0,0.0,0
58.0,9,1,1,0,71.0,1,0,2,5.0,8,71.0,1.0,-1.0,0.0,0
57.0,7,1,1,0,162.0,1,0,2,5.0,8,174.0,1.0,-1.0,0.0,0
51.0,5,1,0,0,229.0,1,0,2,5.0,8,353.0,1.0,-1.0,0.0,0
45.0,0,2,1,0,13.0,1,0,2,5.0,8,98.0,1.0,-1.0,0.0,0
57.0,1,1,0,0,52.0,1,0,2,5.0,8,38.0,1.0,-1.0,0.0,0
60.0,5,1,0,0,60.0,1,0,2,5.0,8,219.0,1.0,-1.0,0.0,0
33.0,7,1,1,0,0.0,1,0,2,5.0,8,54.0,1.0,-1.0,0.0,0
28.0,1,1,1,0,723.0,1,1,2,5.0,8,262.0,1.0,-1.0,0.0,0
56.0,4,1,2,0,779.0,1,0,2,5.0,8,164.0,1.0,-1.0,0.0,0
32.0,1,2,0,0,23.0,1,1,2,5.0,8,160.0,1.0,-1.0,0.0,0
25.0,7,1,1,0,50.0,1,0,2,5.0,8,342.0,1.0,-1.0,0.0,0
40.0,5,1,0,0,0.0,1,1,2,5.0,8,181.0,1.0,-1.0,0.0,0
44.0,0,1,1,0,-372.0,1,0,2,5.0,8,172.0,1.0,-1.0,0.0,0
39.0,4,2,2,0,255.0,1,0,2,5.0,8,296.0,1.0,-1.0,0.0,0
52.0,2,1,1,0,113.0,1,1,2,5.0,8,127.0,1.0,-1.0,0.0,0
46.0,4,2,1,0,-246.0,1,0,2,5.0,8,255.0,2.0,-1.0,0.0,0
36.0,9,2,1,0,265.0,1,1,2,5.0,8,348.0,1.0,-1.0,0.0,0
